date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-07-11,17.7,15.8,19.8,,,,8,,1014.4,
2018-07-12,20,14.8,24.8,,,,13,,1015.8,
2018-07-13,22.1,15.8,26.8,,,280,17,,1016.5,
2018-07-14,23.2,18.8,28.8,,,288,15,,1016.5,
2018-07-15,23.4,15.8,28.8,,,,10,,1014.5,
2018-07-16,22.6,15.8,27.8,,,,9,,1012.1,
2018-07-17,22.4,18.8,27.8,,,297,18,,1009.1,
2018-07-18,21.1,18.8,25.8,,,309,22,,1010.5,
2018-07-19,23.3,19.8,27.8,,,305,19,,1012.6,
2018-07-20,22.8,17.8,27.8,,,297,13,,1013.3,
2018-07-21,22.4,16.8,29.8,,,123,13,,1011.2,
2018-07-22,20.3,17.8,22.8,,,265,12,,1010.1,
2018-07-23,22.6,18.8,28.8,,,308,18,,1011.1,
2018-07-24,24.9,19.8,29.8,,,305,16,,1012.3,
2018-07-25,24.5,18.8,29.8,,,291,15,,1011.7,
2018-07-26,24.1,20.8,29.8,,,,13,,1012.3,
2018-07-27,24.6,18.8,28.8,,,,7,,1012,
2018-07-28,24.5,19.8,29.8,,,,8,,1009.9,
2018-07-29,26.4,19.8,31.8,,,302,13,,1012.5,
2018-07-30,27.1,19.8,32.8,,,,12,,1014.5,
2018-07-31,26.9,19.8,32.8,,,313,11,,1014.6,
2018-08-01,24.8,20.8,30.8,,,,8,,1016.4,
2018-08-02,25.5,19.8,30.8,,,,7,,1018.3,
2018-08-03,25.1,19.8,32.8,,,,8,,1018.3,
2018-08-04,25.5,18.8,31.8,,,,7,,1017,
2018-08-05,24.8,19.8,31.8,,,,9,,1015.8,
2018-08-06,24.6,17.8,30.8,,,,9,,1016.8,
2018-08-07,25,17.8,31.8,,,,11,,1015.8,
2018-08-08,27,20.8,32.8,,,,14,,1014.3,
2018-08-09,27.3,19.8,34.8,,,,13,,1015.6,
2018-08-10,25.3,17.8,30.8,,,,16,,1019,
2018-08-11,20.8,17.8,25.8,,,297,13,,1020.9,
2018-08-12,22.8,17.8,28.8,,,,12,,1018.5,
2018-08-13,23.6,15.8,30.8,,,,13,,1011.3,
2018-08-14,22.8,20.8,24.8,,,278,17,,1011.2,
2018-08-15,23.4,18.8,27.8,,,300,20,,1016.1,
2018-08-16,23.2,17.8,28.8,,,,,,1017.2,
2018-08-17,23,15.8,29.8,,,,9,,1015.5,
2018-08-18,24.6,16.8,31.8,,,,6,,1017.5,
2018-08-19,25.8,18.8,32.8,,,,8,,1018.6,
2018-08-20,26.1,18.8,33.8,,,,7,,1016.1,
2018-08-21,,,,,,,,,,
2018-08-22,,,,,,,,,,
2018-08-23,25.6,18.8,32.8,,,92,13,,1014.3,
2018-08-24,23.2,18.8,28.8,,,,9,,1010.9,
2018-08-25,18.8,16.8,20.8,,,294,16,,1011.3,
2018-08-26,15.2,13.8,17.8,,,321,20,,1013.6,
2018-08-27,16.6,11.8,22.8,,,,13,,1016.3,
2018-08-28,19.5,12.8,26.8,,,,9,,1018.4,
2018-08-29,20.5,13.8,27.8,,,,11,,1017.2,
2018-08-30,20.3,13.8,27.8,,,,15,,1016.3,
2018-08-31,21.1,16.8,25.8,,,,8,,1018.2,
2018-09-01,18.4,16.8,21.8,,,183,17,,1017.8,
2018-09-02,19.7,16.8,23.8,,,,9,,1018.6,
2018-09-03,20,16.8,23.8,,,,12,,1014.9,
2018-09-04,19,17.8,22.8,,,,13,,1012,
2018-09-05,20.9,16.8,24.8,,,318,15,,1014.5,
2018-09-06,20.4,15.8,24.8,,,,9,,1012.7,
2018-09-07,19.3,12.8,24.8,,,,10,,1011.9,
2018-09-08,20.6,17.8,24.8,,,302,19,,1018.1,
2018-09-09,19.3,12.8,24.8,,,,6,,1021.3,
